tile_id,source_image_id,dataset_id,category,wafer_id,modality,split,label,image_path,mask_path,tile_x,tile_y,tile_size,stride,preprocess_id,support_eligible,demo_allowed
miic_partial_normal_test_normal_00001__x00000_y00000_s00448,miic_partial_normal_test_normal_00001,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00001.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00002__x00000_y00000_s00448,miic_partial_normal_test_normal_00002,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00002.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00003__x00000_y00000_s00448,miic_partial_normal_test_normal_00003,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00003.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00004__x00000_y00000_s00448,miic_partial_normal_test_normal_00004,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00004.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00005__x00000_y00000_s00448,miic_partial_normal_test_normal_00005,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00005.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00006__x00000_y00000_s00448,miic_partial_normal_test_normal_00006,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00006.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00007__x00000_y00000_s00448,miic_partial_normal_test_normal_00007,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00007.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00008__x00000_y00000_s00448,miic_partial_normal_test_normal_00008,miic_partial,default,,SEM,test,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00008.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00009__x00000_y00000_s00448,miic_partial_normal_test_normal_00009,miic_partial,default,,SEM,train,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00009.jpg,,0,0,448,448,rgb_repeat_v1,True,False
miic_partial_normal_test_normal_00010__x00000_y00000_s00448,miic_partial_normal_test_normal_00010,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00010.jpg,,0,0,448,448,rgb_repeat_v1,False,False
miic_partial_normal_test_normal_00011__x00000_y00000_s00448,miic_partial_normal_test_normal_00011,miic_partial,default,,SEM,validation,good,data/dataverse_files_recovered/miic_partial_clean/normal/test_normal_00011.jpg,,0,0,448,448,rgb_repeat_v1,False,False
