epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,259.625,1.99258,1.75039,1.70852,0.02015,0.63915,0.59207,0.59059,0.31832,1.79521,1.52403,1.3701,0.00419,0.000166018,0.000166018,0.0669624
2,517.493,1.64212,1.19,1.44956,0.00862,0.58327,0.6563,0.6059,0.34809,1.75521,1.47104,1.32995,0.00664,0.000331386,0.000331386,0.0337944
3,773.121,1.54564,1.1219,1.38209,0.00687,0.63375,0.65811,0.64009,0.35999,1.72355,1.40067,1.24807,0.00565,0.000491586,0.000491586,0.000621288
4,1030.74,1.42897,1.06698,1.30981,0.00611,0.58996,0.66258,0.598,0.35269,1.68404,1.48915,1.25851,0.00269,0.00048262,0.00048262,0.00048262
5,1285.23,1.41299,0.99567,1.34542,0.00565,0.62391,0.62655,0.62361,0.37915,1.57428,1.55394,1.26147,0.00328,0.000469386,0.000469386,0.000469386
6,1539.24,1.3699,0.96742,1.30385,0.00554,0.62912,0.65082,0.64615,0.39648,1.58879,1.40211,1.2901,0.00326,0.000452732,0.000452732,0.000452732
7,1792.57,1.35492,0.95567,1.271,0.00587,0.62281,0.65616,0.60826,0.36011,1.5878,1.76355,1.24342,0.00337,0.00043292,0.00043292,0.00043292
8,2044.57,1.34998,0.92758,1.25669,0.00441,0.64266,0.63258,0.60111,0.37182,1.63055,1.72112,1.23408,0.00415,0.000410262,0.000410262,0.000410262
9,2296.01,1.27123,0.90467,1.22806,0.00483,0.60178,0.61901,0.58309,0.36557,1.59997,1.83298,1.24961,0.00265,0.000385117,0.000385117,0.000385117
10,2550.06,1.26356,0.88447,1.22447,0.00568,0.6716,0.62266,0.63718,0.38383,1.51896,1.46897,1.2358,0.00301,0.00035788,0.00035788,0.00035788
11,2828.61,1.24779,0.8757,1.23311,0.00455,0.67719,0.60333,0.62024,0.39882,1.53948,1.70072,1.22169,0.00358,0.000328982,0.000328982,0.000328982
12,3081.17,1.21764,0.81858,1.22055,0.00416,0.64175,0.62144,0.60748,0.37939,1.56265,1.60967,1.23935,0.00311,0.000298877,0.000298877,0.000298877
13,3330.41,1.18551,0.809,1.18189,0.00433,0.65893,0.55304,0.59107,0.38458,1.46897,1.77779,1.20827,0.00253,0.000268041,0.000268041,0.000268041
