epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,171.166,2.38322,2.05417,1.60263,0.03034,0.52354,0.52005,0.48788,0.26013,2.00024,1.66569,1.26583,0.00647,0.000332036,0.000332036,0.0671284
2,310.246,1.95223,1.35565,1.38677,0.01256,0.578,0.52858,0.50403,0.25059,2.07628,1.54094,1.21414,0.01259,0.000643412,0.000643412,0.0341064
3,445.837,1.80514,1.23357,1.33406,0.00916,0.61728,0.64504,0.5943,0.31648,1.87101,1.36541,1.19405,0.00622,0.000932789,0.000932789,0.00106249
4,583.669,1.73643,1.1682,1.29863,0.00752,0.52689,0.60713,0.56309,0.31024,1.77421,1.41941,1.15734,0.00489,0.000901,0.000901,0.000901
5,719.144,1.71257,1.14503,1.30525,0.00774,0.59928,0.56725,0.55888,0.31293,1.79214,1.49004,1.20314,0.0036,0.000868,0.000868,0.000868
6,862.854,1.66804,1.09762,1.27072,0.0066,0.57028,0.62131,0.56387,0.32476,1.74834,1.49206,1.20256,0.00425,0.000835,0.000835,0.000835
7,1018.88,1.61525,1.06592,1.23748,0.00647,0.61833,0.61783,0.60211,0.33231,1.81682,1.3767,1.14494,0.00396,0.000802,0.000802,0.000802
8,1213.84,1.62013,1.0688,1.25005,0.0057,0.62645,0.611,0.61282,0.3544,1.68687,1.34182,1.15492,0.00423,0.000769,0.000769,0.000769
9,1364.72,1.59482,1.04789,1.25664,0.00581,0.61242,0.61191,0.60524,0.35478,1.73303,1.32372,1.16916,0.00402,0.000736,0.000736,0.000736
10,1507.78,1.57904,0.99527,1.22402,0.00555,0.6504,0.57939,0.58935,0.33925,1.78044,1.49794,1.1634,0.0038,0.000703,0.000703,0.000703
11,1624.43,1.52226,0.99917,1.22582,0.00597,0.6187,0.49494,0.53193,0.31035,1.76681,1.5621,1.159,0.00572,0.00067,0.00067,0.00067
12,1734.29,1.49235,0.98321,1.20154,0.0058,0.57351,0.65115,0.59557,0.33124,1.77656,1.48297,1.14982,0.00377,0.000637,0.000637,0.000637
13,1844.4,1.46501,0.96969,1.20329,0.00499,0.55864,0.59936,0.5792,0.35004,1.66179,1.54551,1.14707,0.00413,0.000604,0.000604,0.000604
14,1954.92,1.4913,0.95277,1.19553,0.00506,0.60355,0.63633,0.59626,0.33536,1.7885,1.47102,1.16032,0.00465,0.000571,0.000571,0.000571
15,2065.31,1.47071,0.94125,1.18437,0.00625,0.60589,0.56792,0.56659,0.3429,1.71386,1.64481,1.15195,0.00515,0.000538,0.000538,0.000538
16,2176.13,1.46258,0.95106,1.16928,0.0059,0.59142,0.65107,0.59692,0.36136,1.65369,1.39501,1.1319,0.0034,0.000505,0.000505,0.000505
17,2287.4,1.45556,0.91598,1.19104,0.00461,0.61855,0.60874,0.6073,0.35915,1.69741,1.39286,1.13283,0.00441,0.000472,0.000472,0.000472
18,2397.65,1.4234,0.91331,1.16549,0.00567,0.58668,0.62412,0.59254,0.36125,1.65762,1.51695,1.1272,0.00452,0.000439,0.000439,0.000439
